time_series,prom_proiz,import,import_%,export,export_%,invest,invest_%,infl,tov_oborot,tov_oborot_%,bezrab,real_den_doh,real_zp
2016-02-29,20.792916502326477,22.071290635048204,73.4857995008535,22.071290635048204,81.09730102437351,99.99441500746761,5.409775660025581,48.91110716313173,12.76165365885134,83.81677021399983,15.0,22.516168780388593,27.377662153500957
2016-03-31,16.982397348107934,28.90289344190942,78.5063916281123,28.90289344190942,76.13754198948995,99.99322915991381,43.11141374236872,51.373092189597486,13.230174797705791,68.8528330018294,13.0,49.262926392424774,29.523473347442366
2016-04-30,21.74274680949692,21.406021074264427,79.07664141982235,21.406021074264427,84.00570219454738,99.99581280965319,36.65085318899453,56.560856738101954,16.790320245731476,81.56910013334502,4.0,69.09147639885788,64.14551371439983
2016-05-31,5.101406708032411,33.91078465493716,78.62867786128243,33.91078465493716,87.00830707779052,99.98750822605211,50.37531209097084,84.16449474015974,31.02437248659652,44.43761593608423,10.0,75.92237315784651,65.54286819072297
2016-06-30,42.316731654046656,42.24321026279354,72.06050828594154,42.24321026279354,86.4524212449729,99.99936040305566,90.02537858210587,75.25820744591228,29.520923759570255,87.77649581685073,12.0,52.12000541050629,70.98730823837025
2016-07-31,24.35641967947185,23.135354051418176,83.9836672013532,23.135354051418176,85.79763030117569,99.99674941770967,36.70733344202485,79.05337403529742,20.82893606546055,86.05752457288561,10.0,76.41192494997252,82.62543716025183
2016-08-31,17.61696110492787,11.56918353489317,94.10690142562973,11.56918353489317,93.95066236437465,99.99716745937803,40.233332500224954,85.91541769586674,24.99037361620283,85.08413125288929,8.0,70.42711104163403,76.95901087835972
2016-09-30,33.0306748794224,28.315894350394643,89.97749218518913,28.315894350394643,91.58991843054334,99.99858100731548,64.93881996741915,81.36509144875822,20.05051220835749,85.80031735138931,18.0,60.84931706235275,64.33938647684744
2016-10-31,23.499869410110712,13.92038573855702,85.93075336906755,13.92038573855702,91.72875881384583,99.99731224985922,43.279018918824086,80.90502017074829,16.092701575725467,83.07474461756215,17.0,65.01142121082756,70.82860653615158
2016-11-30,32.11393984644773,21.9691555877341,99.56680087550811,21.9691555877341,98.45833221322174,99.99608509132173,31.211607714819706,86.37471420437801,18.122856729803985,79.15796333918217,12.0,61.92899394124279,59.96138779076329
2016-12-31,26.23903932706222,8.732042791250626,94.74473553044481,8.732042791250626,99.4237455568035,99.99520883946248,20.848588519791143,87.36624859198308,12.250054009904439,82.74266236555694,8.0,42.58080157763566,53.00475976755571
2017-01-31,11.62293542173877,2.133800618163605,96.84377288482982,2.133800618163605,93.68046357574124,99.99069354412583,1.8941668046746374,78.6081706133021,11.14389849601498,69.64287513131742,8.0,52.06141483571033,60.406370851219364
2017-02-28,17.11376474510694,15.37896229874773,91.93285027139112,15.37896229874773,96.851313033478,99.9942189995875,26.12974246722792,93.80878893131208,11.321284681068915,75.1671166671745,7.0,73.61683470822733,75.89125608971312
2017-03-31,26.716903075573757,4.274430973926336,84.40391342923549,4.274430973926336,88.0131874871166,99.9941179955308,0.0,91.74263960863495,9.730278305840077,74.39242296832744,7.0,55.42258432379387,48.587847860078725
2017-04-30,22.135564367711844,12.184595954316299,88.48866946692871,12.184595954316299,93.33817993571088,99.99581280965319,44.0092861963641,88.99357156981804,24.83662468908636,77.93970481974978,11.0,59.40469124609822,63.348335491855806
2017-05-31,15.411163310806918,11.051076006602985,93.28461044169575,11.051076006602985,96.31966503011866,99.9948726674075,13.455829077901688,95.24437256370406,13.949868243218559,72.94521914845407,4.0,85.12646159098495,86.04243758549083
2017-06-30,27.54249405598228,9.045918339501833,94.70428100951891,9.045918339501833,100.0,99.99601870859965,33.9699611352964,89.5391189870011,13.203479150583558,78.56139343682648,7.0,55.680555793119495,63.54827655056568
2017-07-31,16.718893191687762,0.0,100.0,0.0,98.21834632413338,99.99680440266538,19.896859423290763,95.32307411200806,13.028224411214007,77.12478868247634,9.0,61.00866289289645,72.50321660442526
2017-08-31,13.333119601677605,5.9333888511369475,90.39145060817766,5.9333888511369475,92.74233087241038,0.0,22.28323271991188,97.88415718631995,9.598282393171388,64.69114680381756,4.0,61.0317230048515,40.568740868621624
2017-09-30,14.35384440128387,13.27305371232157,95.43009197208501,13.27305371232157,96.07143776915537,99.99657938731065,36.16058180254538,83.3873717617986,26.3258334077785,72.28622457297315,5.0,71.76235143745085,74.58198766779142
2017-10-31,24.89221415225551,14.082910516926242,96.75836080009813,14.082910516926242,88.86012174129819,99.99552142051719,13.12457956777789,82.0617272069108,13.19156210188901,76.78635357154386,8.0,73.84538032493752,61.31364150726548
2017-11-30,24.977084522856487,12.461126243064225,95.27868351046143,12.461126243064225,93.03428955460411,99.99566962705843,38.64358164938298,82.06349701485645,28.989468216215684,81.56910013334502,6.0,66.71753456575426,80.71749879044202
2017-12-31,26.615103926492825,7.314792012108314,90.41635379549874,7.314792012108314,91.60545432556889,99.99640132398544,50.35465786471481,90.61619288581721,22.20984557679532,76.78635357154386,7.0,76.88489041713636,83.95405476139322
